# 2026-09-25T11:44:16+08:00 run mc-track-ff85-s1: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=100 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.15 --env SCAN=0.20:0.65:0.025   (commit 530b0ea)
mc: mos_ff_mismatch 85C VLO=0.3 VBAR=0.15 sense 10.0 ns, seeds 1..100, scan [0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65], TSTOP 50m
seed    46 vw1 0.8703 vw0 0.1962 L1 0.4063 H0 0.3542 t1 8.1153e-04 t0 inf life 8.1153e-04 t0park inf lifepark 8.1153e-04  rbl 1.138 1.108 1.066 1.008 0.930 0.831 0.718 0.611 0.520 0.440 0.367 0.298 0.234 0.182 0.157 0.151 0.150 0.150 0.150
seed    47 vw1 0.8559 vw0 0.1902 L1 0.4038 H0 0.3545 t1 7.9595e-04 t0 inf life 7.9595e-04 t0park inf lifepark 7.9595e-04  rbl 1.139 1.110 1.068 1.010 0.933 0.835 0.720 0.608 0.513 0.430 0.355 0.286 0.222 0.175 0.155 0.151 0.150 0.150 0.150
seed    48 vw1 0.8294 vw0 0.1890 L1 0.4105 H0 0.3618 t1 9.9234e-04 t0 inf life 9.9234e-04 t0park inf lifepark 9.9234e-04  rbl 1.147 1.121 1.083 1.030 0.958 0.866 0.755 0.638 0.536 0.450 0.372 0.300 0.234 0.181 0.156 0.151 0.150 0.150 0.150
seed    49 vw1 0.8223 vw0 0.1910 L1 0.421 H0 0.3688 t1 9.8101e-04 t0 inf life 9.8101e-04 t0park inf lifepark 9.8101e-04  rbl 1.151 1.128 1.094 1.045 0.978 0.891 0.785 0.672 0.572 0.486 0.410 0.338 0.271 0.210 0.169 0.153 0.150 0.150 0.150
seed    50 vw1 0.8208 vw0 0.1943 L1 0.4071 H0 0.3538 t1 1.0899e-03 t0 inf life 1.0899e-03 t0park inf lifepark 1.0899e-03  rbl 1.136 1.106 1.064 1.005 0.926 0.828 0.716 0.611 0.522 0.443 0.371 0.303 0.239 0.186 0.158 0.151 0.150 0.150 0.150
seed    51 vw1 0.9266 vw0 0.1967 L1 0.4445 H0 0.3919 t1 3.5772e-04 t0 inf life 3.5772e-04 t0park inf lifepark 3.5772e-04  rbl 1.167 1.151 1.127 1.091 1.041 0.972 0.884 0.776 0.663 0.566 0.481 0.406 0.335 0.268 0.208 0.167 0.153 0.150 0.150
seed    52 vw1 0.8395 vw0 0.1870 L1 0.4125 H0 0.3597 t1 8.4513e-04 t0 inf life 8.4513e-04 t0park inf lifepark 8.4513e-04  rbl 1.142 1.115 1.076 1.021 0.946 0.852 0.742 0.634 0.541 0.459 0.385 0.315 0.249 0.193 0.161 0.152 0.150 0.150 0.150
seed    53 vw1 0.8507 vw0 0.1962 L1 0.4393 H0 0.39 t1 8.0307e-04 t0 inf life 8.0307e-04 t0park inf lifepark 8.0307e-04  rbl 1.167 1.150 1.125 1.089 1.038 0.968 0.879 0.770 0.653 0.550 0.462 0.385 0.313 0.246 0.190 0.160 0.151 0.150 0.150
seed    54 vw1 0.8275 vw0 0.1905 L1 0.4288 H0 0.3735 t1 9.1072e-04 t0 inf life 9.1072e-04 t0park inf lifepark 9.1072e-04  rbl 1.153 1.131 1.099 1.053 0.990 0.906 0.804 0.694 0.596 0.512 0.435 0.365 0.297 0.234 0.183 0.157 0.151 0.150 0.150
seed    55 vw1 0.8494 vw0 0.1922 L1 0.4191 H0 0.3655 t1 8.3986e-04 t0 inf life 8.3986e-04 t0park inf lifepark 8.3986e-04  rbl 1.148 1.123 1.087 1.036 0.966 0.877 0.768 0.658 0.563 0.480 0.405 0.335 0.269 0.209 0.168 0.153 0.150 0.150 0.150
seed    56 vw1 0.8256 vw0 0.1913 L1 0.4137 H0 0.3581 t1 9.7870e-04 t0 inf life 9.7870e-04 t0park inf lifepark 9.7870e-04  rbl 1.139 1.111 1.070 1.014 0.938 0.842 0.733 0.631 0.543 0.464 0.392 0.323 0.257 0.199 0.163 0.152 0.150 0.150 0.150
seed    57 vw1 0.8506 vw0 0.1892 L1 0.4106 H0 0.3581 t1 8.5577e-04 t0 inf life 8.5577e-04 t0park inf lifepark 8.5577e-04  rbl 1.141 1.114 1.074 1.018 0.942 0.847 0.735 0.627 0.534 0.453 0.379 0.309 0.243 0.188 0.159 0.151 0.150 0.150 0.150
seed    58 vw1 0.8552 vw0 0.1935 L1 0.404 H0 0.3465 t1 8.9474e-04 t0 inf life 8.9474e-04 t0park inf lifepark 8.9474e-04  rbl 1.127 1.093 1.045 0.980 0.894 0.791 0.685 0.593 0.512 0.437 0.368 0.301 0.238 0.186 0.158 0.151 0.150 0.150 0.150
seed    59 vw1 0.8581 vw0 0.1957 L1 0.4091 H0 0.3592 t1 8.6883e-04 t0 inf life 8.6883e-04 t0park inf lifepark 8.6883e-04  rbl 1.142 1.115 1.075 1.020 0.946 0.853 0.742 0.628 0.531 0.447 0.371 0.300 0.235 0.182 0.157 0.151 0.150 0.150 0.150
seed    60 vw1 0.8718 vw0 0.1905 L1 0.4472 H0 0.3955 t1 6.3570e-04 t0 inf life 6.3570e-04 t0park inf lifepark 6.3570e-04  rbl 1.169 1.154 1.131 1.097 1.049 0.983 0.898 0.793 0.679 0.577 0.490 0.412 0.340 0.273 0.211 0.169 0.153 0.150 0.150
seed    61 vw1 0.8495 vw0 0.1893 L1 0.3784 H0 0.3277 t1 9.7397e-04 t0 5.3439e-04 life 5.3439e-04 t0park inf lifepark 9.7397e-04  rbl 1.107 1.064 1.005 0.926 0.826 0.712 0.603 0.511 0.430 0.356 0.286 0.222 0.174 0.155 0.151 0.150 0.150 0.150 0.150
seed    62 vw1 0.8108 vw0 0.1938 L1 0.3996 H0 0.3447 t1 1.1688e-03 t0 inf life 1.1688e-03 t0park inf lifepark 1.1688e-03  rbl 1.124 1.090 1.042 0.976 0.890 0.786 0.677 0.582 0.499 0.424 0.353 0.287 0.225 0.177 0.155 0.151 0.150 0.150 0.150
seed    63 vw1 0.8515 vw0 0.1921 L1 0.4151 H0 0.3657 t1 8.5532e-04 t0 inf life 8.5532e-04 t0park inf lifepark 8.5532e-04  rbl 1.149 1.124 1.088 1.037 0.969 0.881 0.774 0.657 0.553 0.465 0.387 0.314 0.247 0.190 0.160 0.151 0.150 0.150 0.150
seed    64 vw1 0.8606 vw0 0.1961 L1 0.4047 H0 0.3494 t1 8.8012e-04 t0 inf life 8.8012e-04 t0park inf lifepark 8.8012e-04  rbl 1.131 1.099 1.054 0.992 0.910 0.808 0.697 0.599 0.514 0.438 0.367 0.300 0.237 0.185 0.158 0.151 0.150 0.150 0.150
seed    65 vw1 0.8386 vw0 0.1925 L1 0.4234 H0 0.3724 t1 9.0280e-04 t0 inf life 9.0280e-04 t0park inf lifepark 9.0280e-04  rbl 1.154 1.132 1.100 1.054 0.990 0.907 0.804 0.688 0.583 0.494 0.416 0.343 0.275 0.214 0.170 0.153 0.150 0.150 0.150
