# 2026-09-25T11:44:16+08:00 run mc-track-ff85-s101: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=100 --env N0=101 --env JOBS=1 --env VLO=0.3 --env VBAR=0.15 --env SCAN=0.20:0.65:0.025   (commit 530b0ea)
mc: mos_ff_mismatch 85C VLO=0.3 VBAR=0.15 sense 10.0 ns, seeds 101..200, scan [0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65], TSTOP 50m
seed   140 vw1 0.8276 vw0 0.1890 L1 0.4077 H0 0.3548 t1 9.9565e-04 t0 inf life 9.9565e-04 t0park inf lifepark 9.9565e-04  rbl 1.138 1.109 1.067 1.009 0.931 0.833 0.720 0.615 0.525 0.445 0.372 0.303 0.239 0.186 0.158 0.151 0.150 0.150 0.150
seed   141 vw1 0.8652 vw0 0.1915 L1 0.4349 H0 0.3801 t1 7.3514e-04 t0 inf life 7.3514e-04 t0park inf lifepark 7.3514e-04  rbl 1.159 1.139 1.109 1.067 1.008 0.930 0.831 0.721 0.619 0.531 0.453 0.380 0.312 0.247 0.191 0.160 0.151 0.150 0.150
seed   142 vw1 0.8706 vw0 0.1933 L1 0.4199 H0 0.368 t1 7.1205e-04 t0 inf life 7.1205e-04 t0park inf lifepark 7.1205e-04  rbl 1.150 1.126 1.091 1.042 0.975 0.888 0.782 0.668 0.568 0.483 0.406 0.335 0.268 0.208 0.168 0.153 0.150 0.150 0.150
seed   143 vw1 0.8300 vw0 0.1892 L1 0.3828 H0 0.3305 t1 1.0688e-03 t0 inf life 1.0688e-03 t0park inf lifepark 1.0688e-03  rbl 1.108 1.067 1.009 0.932 0.835 0.723 0.617 0.525 0.444 0.370 0.301 0.236 0.184 0.157 0.151 0.150 0.150 0.150 0.150
seed   144 vw1 0.8002 vw0 0.1882 L1 0.4035 H0 0.35 t1 1.1105e-03 t0 inf life 1.1105e-03 t0park inf lifepark 1.1105e-03  rbl 1.133 1.101 1.057 0.995 0.914 0.812 0.700 0.599 0.511 0.433 0.361 0.292 0.229 0.179 0.156 0.151 0.150 0.150 0.150
seed   145 vw1 0.8508 vw0 0.1925 L1 0.4064 H0 0.3522 t1 9.1643e-04 t0 inf life 9.1643e-04 t0park inf lifepark 9.1643e-04  rbl 1.135 1.105 1.063 1.003 0.922 0.822 0.709 0.607 0.520 0.442 0.370 0.302 0.239 0.185 0.158 0.151 0.150 0.150 0.150
seed   146 vw1 0.8499 vw0 0.1912 L1 0.3999 H0 0.3456 t1 9.4172e-04 t0 inf life 9.4172e-04 t0park inf lifepark 9.4172e-04  rbl 1.127 1.094 1.047 0.982 0.897 0.792 0.681 0.584 0.500 0.424 0.354 0.288 0.226 0.178 0.156 0.151 0.150 0.150 0.150
seed   147 vw1 0.8421 vw0 0.1885 L1 0.4131 H0 0.3639 t1 8.6783e-04 t0 inf life 8.6783e-04 t0park inf lifepark 8.6783e-04  rbl 1.148 1.123 1.087 1.035 0.965 0.875 0.765 0.648 0.546 0.459 0.381 0.309 0.242 0.187 0.158 0.151 0.150 0.150 0.150
seed   148 vw1 0.8024 vw0 0.1937 L1 0.4229 H0 0.3686 t1 1.0730e-03 t0 inf life 1.0730e-03 t0park inf lifepark 1.0730e-03  rbl 1.149 1.125 1.090 1.041 0.974 0.887 0.781 0.672 0.576 0.493 0.418 0.347 0.280 0.219 0.173 0.154 0.150 0.150 0.150
seed   149 vw1 0.8230 vw0 0.1893 L1 0.4619 H0 0.4097 t1 7.8649e-04 t0 inf life 7.8649e-04 t0park inf lifepark 7.8649e-04  rbl 1.175 1.163 1.144 1.117 1.078 1.022 0.947 0.853 0.742 0.633 0.539 0.457 0.383 0.313 0.248 0.193 0.161 0.152 0.150
seed   150 vw1 0.8451 vw0 0.1972 L1 0.394 H0 0.3394 t1 1.0584e-03 t0 inf life 1.0584e-03 t0park inf lifepark 1.0584e-03  rbl 1.119 1.082 1.030 0.960 0.870 0.762 0.654 0.562 0.480 0.406 0.337 0.271 0.210 0.169 0.153 0.150 0.150 0.150 0.150
seed   151 vw1 0.8745 vw0 0.1958 L1 0.407 H0 0.3547 t1 7.7252e-04 t0 inf life 7.7252e-04 t0park inf lifepark 7.7252e-04  rbl 1.139 1.110 1.068 1.010 0.932 0.834 0.720 0.613 0.522 0.443 0.369 0.301 0.236 0.184 0.157 0.151 0.150 0.150 0.150
