# 2026-09-25T11:21:01+08:00 run mc-ls-ss27: mc.py  --env CORNER=mos_ss --env TEMP=27 --env NS=200 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.1 --env SCAN=0.35:0.80:0.025   (commit 530b0ea)
mc: mos_ss_mismatch 27C VLO=0.3 VBAR=0.1 sense 10.0 ns, seeds 1..200, scan [0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8], TSTOP 50m
seed    68 vw1 0.5838 vw0 0.1434 L1 0.566 H0 0.5327 t1 1.4153e-03 t0 inf life 1.4153e-03 t0park inf lifepark 1.4153e-03  rbl 1.188 1.175 1.155 1.119 1.059 0.976 0.874 0.747 0.595 0.446 0.333 0.241 0.162 0.114 0.101 0.100 0.100 0.100 0.100
seed    69 vw1 0.6449 vw0 0.1757 L1 0.5879 H0 0.5537 t1 3.8743e-03 t0 inf life 3.8743e-03 t0park inf lifepark 3.8743e-03  rbl 1.194 1.186 1.173 1.151 1.114 1.050 0.959 0.852 0.722 0.571 0.434 0.329 0.241 0.165 0.115 0.102 0.100 0.100 0.100
seed    70 vw1 0.6270 vw0 0.1643 L1 0.5853 H0 0.5509 t1 2.9550e-03 t0 inf life 2.9550e-03 t0park inf lifepark 2.9550e-03  rbl 1.193 1.185 1.171 1.148 1.108 1.042 0.949 0.839 0.706 0.554 0.423 0.323 0.237 0.163 0.115 0.102 0.100 0.100 0.100
seed    71 vw1 0.6488 vw0 0.1738 L1 0.5599 H0 0.5252 t1 6.3672e-03 t0 inf life 6.3672e-03 t0park inf lifepark 6.3672e-03  rbl 1.183 1.169 1.144 1.104 1.038 0.945 0.835 0.701 0.550 0.423 0.324 0.239 0.164 0.115 0.102 0.100 0.100 0.100 0.100
seed    72 vw1 0.6373 vw0 0.1672 L1 0.5851 H0 0.5523 t1 3.5592e-03 t0 inf life 3.5592e-03 t0park inf lifepark 3.5592e-03  rbl 1.194 1.186 1.172 1.148 1.106 1.039 0.953 0.846 0.714 0.558 0.413 0.303 0.213 0.141 0.107 0.101 0.100 0.100 0.100
seed    73 vw1 0.5975 vw0 0.1470 L1 0.566 H0 0.5301 t1 2.4957e-03 t0 inf life 2.4957e-03 t0park inf lifepark 2.4957e-03  rbl 1.185 1.172 1.150 1.114 1.055 0.966 0.858 0.730 0.582 0.454 0.353 0.267 0.189 0.128 0.104 0.100 0.100 0.100 0.100
seed    74 vw1 0.5848 vw0 0.1405 L1 0.4994 H0 0.4644 t1 8.5384e-03 t0 inf life 8.5384e-03 t0park inf lifepark 8.5384e-03  rbl 1.125 1.075 1.001 0.903 0.783 0.639 0.496 0.386 0.295 0.214 0.145 0.108 0.101 0.100 0.100 0.100 0.100 0.100 0.100
seed    75 vw1 0.6175 vw0 0.1567 L1 0.52 H0 0.4852 t1 8.5870e-03 t0 inf life 8.5870e-03 t0park inf lifepark 8.5870e-03  rbl 1.153 1.120 1.067 0.987 0.884 0.760 0.613 0.472 0.364 0.276 0.197 0.133 0.105 0.100 0.100 0.100 0.100 0.100 0.100
seed    76 vw1 0.5972 vw0 0.1485 L1 0.5765 H0 0.5423 t1 1.5910e-03 t0 inf life 1.5910e-03 t0park inf lifepark 1.5910e-03  rbl 1.190 1.180 1.164 1.135 1.088 1.012 0.913 0.797 0.657 0.507 0.388 0.294 0.211 0.142 0.107 0.101 0.100 0.100 0.100
seed    77 vw1 0.5845 vw0 0.1410 L1 0.504 H0 0.4672 t1 8.1449e-03 t0 inf life 8.1449e-03 t0park inf lifepark 8.1449e-03  rbl 1.128 1.082 1.011 0.914 0.796 0.657 0.517 0.409 0.319 0.240 0.168 0.117 0.102 0.100 0.100 0.100 0.100 0.100 0.100
seed    78 vw1 0.6307 vw0 0.1665 L1 0.5502 H0 0.5154 t1 6.2493e-03 t0 inf life 6.2493e-03 t0park inf lifepark 6.2493e-03  rbl 1.178 1.160 1.130 1.081 1.005 0.905 0.787 0.646 0.501 0.388 0.296 0.215 0.146 0.109 0.101 0.100 0.100 0.100 0.100
