# 2026-09-25T11:19:00+08:00 run mc-ls-tt85: mc.py  --env CORNER=mos_tt --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.1 --env SCAN=0.15:0.60:0.025   (commit 530b0ea)
mc: mos_tt_mismatch 85C VLO=0.3 VBAR=0.1 sense 10.0 ns, seeds 1..200, scan [0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6], TSTOP 50m
seed    68 vw1 0.7376 vw0 0.1841 L1 0.4302 H0 0.3881 t1 3.1214e-03 t0 inf life 3.1214e-03 t0park inf lifepark 3.1214e-03  rbl 1.186 1.179 1.168 1.151 1.126 1.090 1.038 0.968 0.877 0.767 0.639 0.520 0.423 0.338 0.262 0.192 0.135 0.107 0.101
seed    69 vw1 0.7949 vw0 0.1967 L1 0.4527 H0 0.409 t1 2.6431e-03 t0 inf life 2.6431e-03 t0park inf lifepark 2.6431e-03  rbl 1.190 1.185 1.177 1.165 1.146 1.120 1.081 1.025 0.951 0.858 0.745 0.620 0.510 0.418 0.338 0.264 0.195 0.139 0.109
seed    70 vw1 0.7770 vw0 0.1889 L1 0.4515 H0 0.4071 t1 2.6455e-03 t0 inf life 2.6455e-03 t0park inf lifepark 2.6455e-03  rbl 1.189 1.184 1.176 1.164 1.145 1.117 1.077 1.021 0.945 0.850 0.735 0.612 0.505 0.416 0.336 0.263 0.195 0.139 0.109
seed    71 vw1 0.7955 vw0 0.1926 L1 0.426 H0 0.381 t1 2.9087e-03 t0 inf life 2.9087e-03 t0park inf lifepark 2.9087e-03  rbl 1.183 1.174 1.161 1.142 1.114 1.074 1.017 0.941 0.845 0.729 0.608 0.503 0.415 0.336 0.263 0.195 0.138 0.109 0.101
seed    72 vw1 0.7849 vw0 0.1881 L1 0.4486 H0 0.4077 t1 2.5611e-03 t0 inf life 2.5611e-03 t0park inf lifepark 2.5611e-03  rbl 1.190 1.185 1.177 1.165 1.147 1.119 1.079 1.023 0.948 0.854 0.740 0.610 0.494 0.397 0.314 0.238 0.170 0.122 0.104
seed    73 vw1 0.7488 vw0 0.1816 L1 0.4342 H0 0.3869 t1 2.9689e-03 t0 inf life 2.9689e-03 t0park inf lifepark 2.9689e-03  rbl 1.184 1.176 1.165 1.147 1.121 1.084 1.031 0.959 0.868 0.757 0.638 0.533 0.444 0.364 0.290 0.221 0.158 0.117 0.103
seed    74 vw1 0.7328 vw0 0.1843 L1 0.3673 H0 0.3207 t1 4.3582e-03 t0 inf life 4.3582e-03 t0park inf lifepark 4.3582e-03  rbl 1.153 1.130 1.098 1.052 0.989 0.905 0.800 0.679 0.566 0.471 0.387 0.311 0.240 0.174 0.125 0.105 0.100 0.100 0.100
seed    75 vw1 0.7623 vw0 0.1882 L1 0.3881 H0 0.3423 t1 3.8284e-03 t0 inf life 3.8284e-03 t0park inf lifepark 3.8284e-03  rbl 1.166 1.150 1.127 1.093 1.045 0.979 0.892 0.785 0.662 0.549 0.455 0.373 0.299 0.229 0.166 0.121 0.104 0.100 0.100
seed    76 vw1 0.7492 vw0 0.1831 L1 0.4441 H0 0.3993 t1 2.8550e-03 t0 inf life 2.8550e-03 t0park inf lifepark 2.8550e-03  rbl 1.187 1.181 1.172 1.158 1.136 1.105 1.061 0.998 0.917 0.816 0.697 0.577 0.476 0.390 0.313 0.241 0.175 0.126 0.105
seed    77 vw1 0.7324 vw0 0.1835 L1 0.3738 H0 0.325 t1 4.2646e-03 t0 inf life 4.2646e-03 t0park inf lifepark 4.2646e-03  rbl 1.154 1.132 1.102 1.058 0.998 0.918 0.817 0.700 0.589 0.496 0.413 0.338 0.268 0.201 0.144 0.111 0.102 0.100 0.100
seed    78 vw1 0.7784 vw0 0.1936 L1 0.418 H0 0.3717 t1 3.2457e-03 t0 inf life 3.2457e-03 t0park inf lifepark 3.2457e-03  rbl 1.179 1.169 1.154 1.132 1.099 1.053 0.990 0.907 0.804 0.684 0.569 0.473 0.390 0.314 0.243 0.177 0.127 0.105 0.101
seed    79 vw1 0.7404 vw0 0.1880 L1 0.4055 H0 0.3624 t1 3.7136e-03 t0 inf life 3.7136e-03 t0park inf lifepark 3.7136e-03  rbl 1.176 1.165 1.148 1.122 1.086 1.034 0.964 0.874 0.763 0.636 0.521 0.426 0.344 0.269 0.201 0.143 0.110 0.101 0.100
