# 2026-09-25T11:08:13+08:00 run mc-base-ff85: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=2 --env TSTOP=2m --env SCAN=0.05:0.40:0.025   (commit 162c494)
mc: mos_ff_mismatch 85C VLO=0.0 VBAR=0.0 sense 10.0 ns, seeds 1..200, scan [0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4], TSTOP 2m
seed    45 vw1 0.8859 vw0 -0.0264 L1 0.2214 H0 0.1722 t1 4.7780e-07 t0 1.7325e-06 life 4.7780e-07  rbl 1.120 1.081 1.020 0.928 0.809 0.686 0.579 0.487 0.405 0.329 0.258 0.189 0.122 0.061 0.018
seed    46 vw1 0.8719 vw0 -0.0288 L1 0.1855 H0 0.1361 t1 8.6465e-07 t0 1.0984e-06 life 8.6465e-07  rbl 1.053 0.982 0.879 0.752 0.634 0.536 0.450 0.373 0.300 0.231 0.165 0.101 0.044 0.011 0.002
seed    47 vw1 0.8577 vw0 -0.0325 L1 0.1827 H0 0.1352 t1 8.8827e-07 t0 1.0679e-06 life 8.8827e-07  rbl 1.043 0.969 0.868 0.749 0.629 0.527 0.439 0.360 0.287 0.217 0.150 0.087 0.034 0.008 0.001
seed    48 vw1 0.8315 vw0 -0.0392 L1 0.1863 H0 0.1395 t1 1.7601e-06 t0 2.8153e-06 life 1.7601e-06  rbl 1.055 0.986 0.889 0.771 0.648 0.541 0.450 0.369 0.293 0.223 0.155 0.090 0.036 0.008 0.001
seed    49 vw1 0.8245 vw0 -0.0395 L1 0.1965 H0 0.1473 t1 1.9540e-06 t0 4.0212e-06 life 1.9540e-06  rbl 1.082 1.025 0.937 0.816 0.686 0.578 0.487 0.406 0.332 0.261 0.193 0.128 0.067 0.022 0.004
seed    50 vw1 0.8229 vw0 -0.0395 L1 0.1825 H0 0.133 t1 2.3101e-06 t0 3.2424e-06 life 2.3101e-06  rbl 1.049 0.975 0.867 0.737 0.621 0.525 0.441 0.365 0.293 0.225 0.159 0.096 0.042 0.010 0.001
seed    51 vw1 0.9281 vw0 -0.0168 L1 0.2439 H0 0.1919 t1 2.1729e-07 t0 1.2516e-06 life 2.1729e-07  rbl 1.145 1.120 1.079 1.010 0.904 0.778 0.663 0.565 0.479 0.401 0.328 0.258 0.191 0.125 0.063
seed    52 vw1 0.8416 vw0 -0.0365 L1 0.1906 H0 0.1407 t1 1.1571e-06 t0 1.8050e-06 life 1.1571e-06  rbl 1.066 0.999 0.900 0.776 0.655 0.554 0.467 0.388 0.314 0.244 0.177 0.112 0.053 0.015 0.002
seed    53 vw1 0.8527 vw0 -0.0321 L1 0.2158 H0 0.1684 t1 1.1090e-06 t0 4.0764e-06 life 1.1090e-06  rbl 1.114 1.073 1.009 0.914 0.792 0.667 0.558 0.466 0.385 0.310 0.239 0.171 0.106 0.049 0.013
seed    54 vw1 0.8297 vw0 -0.0386 L1 0.2054 H0 0.1556 t1 1.6832e-06 t0 4.5494e-06 life 1.6832e-06  rbl 1.105 1.059 0.984 0.869 0.726 0.610 0.518 0.436 0.361 0.290 0.222 0.157 0.094 0.040 0.010
